instance_type,max_batch_tokens,batch,concurrency,target_tokens,emb_per_sec,req_per_sec,p50_ms,p99_ms,errors,duration_s,warmup_s,timestamp
c7i.4xlarge,16384,8,4,256,0.7,0.1,32613.0,32778.0,0,60.0,15.0,1779348805
g4dn.xlarge,524288,8,16,256,244.0,30.5,520.9,531.4,0,60.0,15.0,1779348685
g5.xlarge,524288,8,64,256,942.8,117.9,538.5,567.3,0,60.0,15.0,1779348756
g6.12xlarge,524288,8,4,256,2.0,0.2,12277.6,23807.7,0,60.0,15.0,1779349014
g6.xlarge,524288,8,4,256,799.5,99.9,40.0,41.4,0,60.0,15.0,1779348675
inf2.xlarge,16384,32,4,256,247.9,7.7,512.6,513.4,0,60.0,15.0,1779794171
inf2.xlarge,16384,8,4,256,951.9,119.0,31.9,52.4,0,60.0,15.0,1779802284
inf1.xlarge,2048,32,4,256,229.2,7.2,536.5,758.1,0,60.0,15.0,1779812456
inf1.2xlarge,2048,8,16,256,248.9,31.1,512.9,546.8,0,60.0,15.0,1779813816
